date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg)
2022-12-30,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2022-12-31,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-01,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-02,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-03,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-04,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-05,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-06,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-07,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-08,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-09,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-10,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-11,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-12,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-13,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-14,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-15,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-16,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-17,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-18,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-19,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-20,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-21,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-22,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-23,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-24,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-25,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-26,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-27,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-28,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-29,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-30,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-01-31,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-01,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-02,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-03,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-04,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-05,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-06,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-07,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-08,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-09,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-10,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-11,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-12,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-13,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-14,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-15,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-16,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-17,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-18,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-19,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-20,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-21,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-22,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-23,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-24,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-25,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-26,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-27,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-02-28,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-03-01,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-03-02,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-03-03,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
2023-03-04,30.212031250000003,64.15302083333333,4.378541666666666,9.004531250000001,9.82140625,6.868541666666666,5.449531250000001,0.375,28.51515625,1.6265625,3.660625,0.89421875,2.0425,24.39109375,71.420625,1.55453125,241.06609375,0.0,0.0,208.51463541666664,903.0594270833334
